claim,label
Drinking hot water cures coronavirus,false
The earth revolves around the sun,true
Vaccines cause autism,false
India is the largest democracy,true
Melting ice sheets and rising sea levels redistribute Earth's mass,true
Climate change is real and caused by human activity,true
The Earth's climate has always changed naturally,false
Global warming has stopped in the last 15 years,false
Renewable energy is more expensive than fossil fuels,false
Solar and wind power are now cheaper than coal,true
Vaccines are safe and effective,true
Mask wearing prevents spread of COVID-19,true
